District;MalesActive;FemalesActive;MalesUnem;FemalesUnem;nocarHH;carHH;Population
Antrim;12121;6527;1861;761;2920;12404;44804
Ards;16065;9346;1823;976;4054;18357;57626
Armagh;12387;6641;2324;856;1921;13638;47618
Ballymena;14866;8365;1977;841;3184;16854;54426
Ballymoney;6218;3169;1313;343;1120;6591;22873
Banbridge;8223;4605;1206;596;1775;9209;29885
Belfast;78912;53588;16844;7252;41733;65431;295223
Carrickfergus;7863;4778;1326;515;2346;8374;28458
Castlereagh;17405;12312;1588;877;4873;22109;60757
Coleraine;12168;6758;2400;775;3106;12499;46272
Cookstown;6931;3212;2002;652;925;6491;26624
Craigavon;19227;12487;3657;12487;5809;20356;71202
Derry;21287;11980;6164;186;7131;17165;83384
Down;14105;7753;2207;828;3218;15034;52869
Dungannon;10823;5150;2805;959;1629;10466;41073
Fermanagh;13619;5956;2935;847;2148;13142;51008
Larne;8129;4264;1313;514;2471;7979;28929
Limavady;7091;3049;1903;442;1455;5943;26270
Lisburn;23368;13824;2780;1516;5389;26481;82091
Magherafelt;7936;3905;2069;572;1373;7765;30825
Moyle;3710;1733;1015;280;757;3355;14252
Newry & Mourne;18115;8744;5589;1616;3685;15336;72243
Newtownabbey;20457;13241;2550;1266;6273;23441;71631
North Down;17816;10854;1380;831;3999;21927;65849
Omagh;10634;4990;2354;709;1663;10519;41159
Strabane;8908;4144;2884;757;1835;7388;35028
